Sample;P1handcategory;P1handrank;P1coin;P1averageraise;P1raiseratio;P2handcategory;P2handrank;P2coin;P2averageraise;P2raiseratio;P1action1;P1raisecoin1;P2action1;P2raisecoin1;P1action2;P1raisecoin2;P2action2;P2raisecoin2;P1action3;P1raisecoin3;P2action3;P2raisecoin3;P1action4;P1raisecoin4;P2action4;P2raisecoin4;P1numberofraises;P2numberofraises;P1finalaction;P2finalaction
19;flush;7;385;12,5;0,064935064935065;TwoPairs;A;111;30;0,27027027027027;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
20;OnePair;2;233;12,5;0,107296137339056;fullhouse;3;440;25;0,113636363636364;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
21;OnePair;2;424;12,5;0,058962264150943;HighCard;K;216;10;0,046296296296296;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
22;TwoPairs;J;146;12,5;0,171232876712329;straight;8;277;30;0,108303249097473;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
23;OnePair;Q;304;84;0,552631578947368;OnePair;2;150;10;0,066666666666667;Raise;5;Raise;10;Raise;163;Fold;0;;;;;;;;;2;1;Raise;Fold
24;OnePair;3;423;12,5;0,059101654846336;TwoPairs;A;410;30;0,073170731707317;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
25;OnePair;4;226;12,5;0,110619469026549;3ofakind;5;445;25;0,112359550561798;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
26;straight;5;409;12,5;0,061124694376528;TwoPairs;Q;201;30;0,149253731343284;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
27;OnePair;7;206;12,5;0,121359223300971;flush;6;478;25;0,104602510460251;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
28;OnePair;K;189;80;0,846560846560847;TwoPairs;J;280;280;1;Raise;5;Raise;10;Raise;155;AllIn;270;;;;;;;;;2;1;Raise;AllIn
29;TwoPairs;T;306;32,5;0,212418300653595;fullhouse;K;474;25;0,105485232067511;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
30;straightflush;J;298;12,5;0,083892617449665;TwoPairs;T;89;10;0,112359550561798;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
31;3ofakind;A;492;12,5;0,050813008130081;HighCard;K;250;10;0,04;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
32;HighCard;T;158;25;0,316455696202532;flush;8;448;55;0,122767857142857;Raise;5;Raise;10;Raise;45;Call;45;;;;;;;;;2;1;Raise;Call
33;HighCard;J;107;12;0,224299065420561;4ofakind;8;217;29;0,133640552995392;Raise;5;Raise;10;Raise;19;Call;19;;;;;;;;;2;1;Raise;Call
34;TwoPairs;T;30;12,5;0,833333333333333;fullhouse;K;292;30;0,102739726027397;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
35;TwoPairs;K;194;38,6666666666667;0,597938144329897;fullhouse;K;461;70,5;0,3058568329718;Raise;5;Raise;10;Raise;20;Raise;40;Raise;91;Call;91;;;;;3;2;Raise;Call
36;flush;T;292;12,5;0,085616438356164;OnePair;5;169;10;0,059171597633136;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
37;OnePair;Q;35;11,5;0,657142857142857;straightflush;4;166;28;0,168674698795181;Raise;5;Raise;10;Raise;18;Call;18;;;;;;;;;2;1;Raise;Call
38;OnePair;5;233;12,5;0,107296137339056;3ofakind;A;455;25;0,10989010989011;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
39;HighCard;A;312;12,5;0,080128205128205;straightflush;2;477;25;0,10482180293501;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
40;HighCard;9;30;5;0,5;straight;3;451;8,66666666666667;0,057649667405765;Raise;5;Raise;10;Raise;7;Raise;14;Raise;1;Raise;2;Call;2;;;3;3;Call;Raise
41;HighCard;5;87;27;0,620689655172414;3ofakind;8;180;59;0,327777777777778;Raise;5;Raise;10;Raise;49;Call;49;;;;;;;;;2;1;Raise;Call
42;3ofakind;5;298;12,5;0,083892617449665;HighCard;K;205;10;0,048780487804878;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
43;TwoPairs;T;64;12,5;0,390625;flush;3;473;25;0,105708245243129;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
44;straightflush;2;258;12,5;0,096899224806202;TwoPairs;K;97;10;0,103092783505155;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
45;HighCard;5;200;61,5;0,615;4ofakind;A;484;128;0,264462809917355;Raise;5;Raise;10;Raise;118;Call;118;;;;;;;;;2;1;Raise;Call
46;straightflush;8;496;12,5;0,050403225806452;OnePair;2;179;10;0,05586592178771;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
47;HighCard;Q;273;12,5;0,091575091575092;flush;9;498;25;0,100401606425703;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
48;straight;Q;427;32,5;0,152224824355972;TwoPairs;T;198;25;0,252525252525252;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
49;3ofakind;9;470;12,5;0,053191489361702;HighCard;Q;125;10;0,08;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
50;4ofakind;Q;274;24;0,175182481751825;TwoPairs;Q;183;16,5;0,180327868852459;Raise;5;Raise;10;Raise;20;Raise;23;Call;23;;;;;;;2;2;Call;Raise
51;HighCard;A;276;12,5;0,090579710144928;fullhouse;6;469;25;0,106609808102345;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
52;flush;5;435;32,5;0,149425287356322;TwoPairs;J;191;25;0,261780104712042;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
53;TwoPairs;J;49;12,5;0,510204081632653;4ofakind;2;324;30;0,092592592592593;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
54;OnePair;A;68;10;0,294117647058823;4ofakind;J;311;10;0,064308681672026;Raise;5;Raise;10;Raise;5;Raise;10;Call;10;;;;;;;2;2;Call;Raise
55;flush;4;367;12,5;0,068119891008174;OnePair;2;192;10;0,052083333333333;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
56;OnePair;5;438;12,5;0,057077625570776;TwoPairs;T;174;25;0,28735632183908;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
57;3ofakind;A;421;12,5;0,05938242280285;TwoPairs;A;271;30;0,11070110701107;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
58;fullhouse;7;381;12,5;0,065616797900263;TwoPairs;A;154;10;0,064935064935065;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
59;fullhouse;7;246;12,5;0,101626016260163;HighCard;Q;148;10;0,067567567567568;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
60;4ofakind;T;363;12,5;0,068870523415978;OnePair;T;241;10;0,04149377593361;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
61;flush;T;398;12,5;0,062814070351759;HighCard;Q;136;10;0,073529411764706;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
62;OnePair;7;388;12,5;0,064432989690722;TwoPairs;T;311;10;0,032154340836013;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
63;HighCard;9;52;18,5;0,711538461538462;4ofakind;9;166;42;0,253012048192771;Raise;5;Raise;10;Raise;32;Call;32;;;;;;;;;2;1;Raise;Call
64;OnePair;8;426;12,5;0,05868544600939;OnePair;2;167;10;0,059880239520958;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
65;flush;5;458;32,5;0,141921397379913;TwoPairs;T;83;25;0,602409638554217;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
66;HighCard;J;51;13,5;0,529411764705882;HighCard;A;147;10;0,068027210884354;Raise;5;Raise;10;Raise;22;Fold;0;;;;;;;;;2;1;Raise;Fold
67;HighCard;8;59;13;0,440677966101695;straightflush;2;448;26;0,116071428571429;Raise;5;Raise;10;Raise;21;Raise;42;Fold;0;;;;;;;2;2;Fold;Raise
68;OnePair;8;246;12,5;0,101626016260163;fullhouse;9;487;25;0,102669404517454;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
69;3ofakind;9;436;12,5;0,057339449541284;OnePair;5;139;10;0,071942446043166;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
70;OnePair;7;471;12,5;0,05307855626327;TwoPairs;J;332;25;0,150602409638554;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
71;OnePair;4;485;12,5;0,051546391752577;OnePair;5;188;10;0,053191489361702;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
72;OnePair;2;256;12,5;0,09765625;3ofakind;5;468;25;0,106837606837607;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
73;fullhouse;3;352;12,5;0,071022727272727;TwoPairs;T;219;10;0,045662100456621;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
74;4ofakind;2;404;46,5;0,23019801980198;TwoPairs;J;152;39;0,513157894736842;Raise;5;Raise;10;Raise;20;Raise;68;Call;68;;;;;;;2;2;Call;Raise
75;OnePair;K;78;18,6666666666667;0,717948717948718;flush;3;164;33;0,402439024390244;Raise;5;Raise;10;Raise;5;Raise;10;Raise;46;Call;46;;;;;3;2;Raise;Call
76;HighCard;T;195;39;0,4;straight;K;373;83;0,222520107238606;Raise;5;Raise;10;Raise;73;Call;73;;;;;;;;;2;1;Raise;Call
77;HighCard;Q;288;12,5;0,086805555555556;OnePair;T;218;10;0,045871559633028;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
78;HighCard;J;32;16;1;4ofakind;Q;210;8;0,076190476190476;Raise;5;Raise;10;Raise;3;Raise;6;AllIn;24;;;;;;;2;2;AllIn;Raise
79;OnePair;6;286;12,5;0,087412587412587;TwoPairs;J;31;5;0,32258064516129;Raise;5;Raise;10;Raise;20;Raise;0;Call;0;;;;;;;2;2;Call;Raise
80;OnePair;Q;58;10,5;0,362068965517241;4ofakind;7;179;26;0,145251396648045;Raise;5;Raise;10;Raise;16;Call;16;;;;;;;;;2;1;Raise;Call
81;4ofakind;2;456;12,5;0,054824561403509;HighCard;A;123;10;0,08130081300813;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
82;fullhouse;K;480;32,5;0,135416666666667;TwoPairs;T;184;25;0,271739130434783;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
83;straight;2;373;12,5;0,067024128686327;TwoPairs;A;216;30;0,138888888888889;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
84;OnePair;2;254;12,5;0,098425196850394;TwoPairs;Q;114;10;0,087719298245614;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
85;flush;5;307;12,5;0,0814332247557;OnePair;T;133;10;0,075187969924812;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
86;OnePair;K;125;25,5;0,408;straight;K;274;56;0,204379562043796;Raise;5;Raise;10;Raise;46;Call;46;;;;;;;;;2;1;Raise;Call
87;OnePair;2;482;12,5;0,051867219917013;TwoPairs;T;222;25;0,225225225225225;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
88;fullhouse;3;439;32,5;0,148063781321185;TwoPairs;Q;176;25;0,284090909090909;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
89;TwoPairs;6;62;7,5;0,241935483870968;fullhouse;8;167;20;0,119760479041916;Raise;5;Raise;10;Raise;10;Call;10;;;;;;;;;2;1;Raise;Call
90;OnePair;6;399;12,5;0,06265664160401;OnePair;7;145;10;0,068965517241379;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
91;4ofakind;A;408;12,5;0,061274509803922;OnePair;9;215;10;0,046511627906977;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
92;flush;2;452;32,5;0,143805309734513;TwoPairs;A;208;25;0,240384615384615;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
93;3ofakind;4;393;21,5;0,10941475826972;OnePair;Q;59;19;0,322033898305085;Raise;5;Raise;19;Raise;38;Fold;0;;;;;;;;;2;1;Raise;Fold
94;TwoPairs;T;53;12,5;0,471698113207547;3ofakind;6;388;30;0,077319587628866;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
95;OnePair;5;129;5,5;0,085271317829457;OnePair;J;80;12;0,3;Raise;5;Raise;3;Raise;6;Raise;21;Fold;0;;;;;;;2;2;Fold;Raise
96;straight;7;417;12,5;0,059952038369305;TwoPairs;Q;101;101;1;Raise;5;Raise;10;Raise;20;AllIn;91;;;;;;;;;2;1;Raise;AllIn
97;4ofakind;J;304;12,5;0,082236842105263;OnePair;2;185;10;0,054054054054054;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
98;4ofakind;6;285;12,5;0,087719298245614;HighCard;K;168;10;0,05952380952381;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
99;flush;4;449;12,5;0,055679287305123;OnePair;4;204;10;0,049019607843137;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
100;TwoPairs;Q;231;32,5;0,281385281385281;4ofakind;4;486;25;0,102880658436214;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
101;OnePair;3;340;12,5;0,073529411764706;OnePair;4;208;10;0,048076923076923;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
102;OnePair;2;257;12,5;0,09727626459144;straight;A;456;25;0,109649122807018;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
103;OnePair;T;231;12,5;0,108225108225108;straightflush;9;486;25;0,102880658436214;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
104;OnePair;A;103;51,5;1;fullhouse;7;405;20;0,098765432098766;Raise;5;Raise;10;Raise;15;Raise;30;AllIn;83;;;;;;;2;2;AllIn;Raise
105;TwoPairs;K;173;12,5;0,144508670520231;fullhouse;4;415;25;0,120481927710843;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
106;OnePair;5;457;12,5;0,054704595185996;TwoPairs;T;145;25;0,344827586206897;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
107;TwoPairs;K;328;12,5;0,076219512195122;TwoPairs;T;347;10;0,028818443804035;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
108;OnePair;4;251;12,5;0,099601593625498;3ofakind;2;481;25;0,103950103950104;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
109;fullhouse;J;459;32,5;0,14161220043573;TwoPairs;J;161;25;0,31055900621118;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
110;flush;4;325;12,5;0,076923076923077;OnePair;9;198;10;0,050505050505051;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
111;4ofakind;4;478;32,5;0,135983263598326;TwoPairs;A;205;25;0,24390243902439;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
112;OnePair;T;216;12,5;0,115740740740741;flush;7;403;30;0,074441687344913;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
113;straight;J;356;12,5;0,070224719101124;TwoPairs;T;154;30;0,194805194805195;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
114;3ofakind;4;331;12,5;0,075528700906344;OnePair;7;159;10;0,062893081761006;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
115;OnePair;6;242;12,5;0,103305785123967;flush;9;363;30;0,082644628099174;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
116;4ofakind;8;457;19,25;0,168490153172867;OnePair;A;122;40,6666666666667;1;Raise;5;Raise;17;Raise;34;Raise;6;Raise;12;Raise;13;Raise;26;AllIn;86;4;3;Raise;AllIn
117;4ofakind;2;472;12,5;0,052966101694915;OnePair;4;239;10;0,041841004184101;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
118;OnePair;Q;386;190,5;0,987046632124352;TwoPairs;Q;492;52;0,211382113821138;Raise;5;Raise;10;Raise;282;Raise;94;Call;94;;;;;;;2;2;Call;Raise
119;TwoPairs;K;42;14;0,666666666666667;3ofakind;6;140;33;0,235714285714286;Raise;5;Raise;10;Raise;23;Call;23;;;;;;;;;2;1;Raise;Call
120;TwoPairs;T;50;12,5;0,5;4ofakind;9;396;30;0,075757575757576;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
121;TwoPairs;A;175;12,5;0,142857142857143;flush;8;259;30;0,115830115830116;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
122;OnePair;3;482;12,5;0,051867219917013;OnePair;4;158;10;0,063291139240506;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
123;3ofakind;Q;272;12,5;0,091911764705882;TwoPairs;A;139;30;0,215827338129496;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
124;TwoPairs;Q;122;12,5;0,204918032786885;3ofakind;J;216;30;0,138888888888889;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
125;OnePair;Q;206;33;0,320388349514563;straightflush;3;350;71;0,202857142857143;Raise;5;Raise;10;Raise;61;Call;61;;;;;;;;;2;1;Raise;Call
126;OnePair;2;250;12,5;0,1;flush;6;389;30;0,077120822622108;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
127;TwoPairs;A;58;12,5;0,431034482758621;straight;8;274;30;0,109489051094891;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
128;straightflush;K;480;12,5;0,052083333333333;OnePair;T;116;10;0,086206896551724;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
129;straight;8;470;12,5;0,053191489361702;OnePair;9;192;10;0,052083333333333;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
130;HighCard;T;120;18,5;0,308333333333333;fullhouse;J;332;42;0,126506024096386;Raise;5;Raise;10;Raise;32;Call;32;;;;;;;;;2;1;Raise;Call
131;HighCard;A;354;13,5;0,076271186440678;OnePair;J;402;33;0,082089552238806;Raise;5;Raise;11;Raise;22;Call;22;;;;;;;;;2;1;Raise;Call
132;TwoPairs;Q;240;12,5;0,104166666666667;fullhouse;3;376;30;0,079787234042553;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
133;flush;5;315;12,5;0,079365079365079;OnePair;9;163;10;0,061349693251534;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
134;OnePair;9;257;12,5;0,09727626459144;OnePair;2;180;10;0,055555555555556;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
135;TwoPairs;J;105;12,5;0,238095238095238;flush;9;385;30;0,077922077922078;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
136;HighCard;3;61;6;0,19672131147541;OnePair;4;173;12;0,138728323699422;Raise;5;Raise;10;Raise;7;Raise;14;Fold;0;;;;;;;2;2;Fold;Raise
137;straight;2;257;12,5;0,09727626459144;OnePair;4;167;10;0,059880239520958;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
138;TwoPairs;A;46;12,5;0,543478260869565;fullhouse;A;336;30;0,089285714285714;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
139;flush;3;477;32,5;0,136268343815514;TwoPairs;A;149;25;0,335570469798658;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
140;TwoPairs;J;121;12,5;0,206611570247934;TwoPairs;Q;275;30;0,109090909090909;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
141;OnePair;6;255;12,5;0,098039215686275;4ofakind;5;492;25;0,101626016260163;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
142;TwoPairs;J;81;15;0,740740740740741;straight;T;431;31,6666666666667;0,220417633410673;Raise;5;Raise;10;Raise;20;Raise;40;Raise;10;Raise;20;Raise;25;Call;25;4;3;Raise;Call
143;OnePair;8;411;12,5;0,060827250608273;OnePair;9;191;10;0,052356020942408;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
144;TwoPairs;J;192;12,5;0,130208333333333;flush;9;328;30;0,091463414634146;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
145;TwoPairs;T;193;49;0,761658031088083;3ofakind;5;441;86;0,390022675736961;Raise;5;Raise;10;Raise;20;Raise;40;Raise;122;Call;122;;;;;3;2;Raise;Call
146;TwoPairs;K;200;12,5;0,125;flush;Q;316;30;0,09493670886076;Raise;5;Raise;10;Raise;20;Call;20;;;;;;;;;2;1;Raise;Call
147;TwoPairs;J;76;12;0,31578947368421;HighCard;Q;119;10;0,084033613445378;Raise;5;Raise;10;Raise;19;Fold;0;;;;;;;;;2;1;Raise;Fold
148;HighCard;2;156;10;0,128205128205128;3ofakind;2;232;10;0,086206896551724;Raise;5;Raise;10;Raise;5;Raise;10;Call;10;;;;;;;2;2;Call;Raise
149;straight;A;491;32,5;0,132382892057026;TwoPairs;K;297;25;0,168350168350168;Raise;5;Raise;10;Raise;20;Raise;40;Call;40;;;;;;;2;2;Call;Raise
150;HighCard;K;297;12,5;0,084175084175084;straightflush;J;459;25;0,108932461873638;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
151;TwoPairs;K;347;12,5;0,072046109510087;TwoPairs;T;445;10;0,02247191011236;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
152;OnePair;5;495;12,5;0,050505050505051;TwoPairs;Q;386;25;0,129533678756477;Raise;5;Raise;10;Raise;20;Raise;40;Fold;0;;;;;;;2;2;Fold;Raise
153;fullhouse;8;425;12,5;0,058823529411765;TwoPairs;K;165;10;0,060606060606061;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
154;straightflush;8;301;12,5;0,083056478405316;TwoPairs;K;158;10;0,063291139240506;Raise;5;Raise;10;Raise;20;Fold;0;;;;;;;;;2;1;Raise;Fold
